;;;time-(0.01)-uniqueness;time-(5)-anonymity;utility-(0.01)-uniqueness;utility-(5)-anonymity
Dataset;Rows;Columns;Value;Value;Value;Value
fars;100937;4;74.4;47.4;0.9900485256279328;0.8996152056174376
fars;100937;5;87.0;84.8;0.9920467116848264;0.8973902664259834
fars;100937;6;239.4;203.8;0.9895376057204861;0.8893166250214029
fars;100937;7;5302.6;2639.8;0.9430157851084624;0.8349595554448219
fars;100937;8;7005.8;6333.8;0.9618678107159198;0.8471462197094193
fars;10093;8;668.2;925.0;0.9617737148490106;0.8153600419662763
fars;20186;8;860.4;1172.8;0.9674224680993848;0.8368671015168199
fars;30279;8;1201.8;1900.6;0.967575258927601;0.827772481635273
fars;40372;8;1870.0;2132.8;0.9618238897020936;0.8406751428348695
fars;50465;8;2245.0;2891.8;0.9618501692620942;0.8416511274596563
fars;60558;8;2927.6;3764.0;0.9618974777112177;0.8399711127112961
fars;70651;8;4915.0;4408.8;0.9618861505281568;0.8427001315014373
fars;80744;8;5603.0;5267.0;0.9618805801018113;0.8429136416433709
fars;90837;8;6236.0;5697.2;0.9618683413744071;0.8469273695668733
fars;100937;8;7050.0;6423.2;0.9618678107159198;0.8471462197094193
atus;539253;3;57.0;48.4;1.0;1.0
atus;539253;4;77.6;54.8;1.0;0.9923885017529555
atus;539253;5;90.4;71.6;1.0;0.9892753472201641
atus;539253;6;92.2;77.6;1.0;0.9821187814109038
atus;539253;7;127.2;171.0;1.0;0.963793182122872
atus;539253;8;338.8;1312.0;0.9996142812999997;0.9250646217884786
atus;539253;9;547.6;5003.6;0.9977174441206551;0.9130585613950422
atus;53925;9;273.2;6109.6;0.9897914369638805;0.8143412751363188
atus;107850;9;234.8;4690.0;0.9946534706855257;0.8627758164781316
atus;161775;9;301.4;5579.8;0.994065805948612;0.8725355826456493
atus;215700;9;374.8;5806.2;0.9941160174715331;0.8821552833799484
atus;269625;9;388.0;5817.8;0.9954443488099773;0.891672962909716
atus;323550;9;448.2;5617.8;0.9970143954123007;0.8985422143607038
atus;377475;9;502.6;5505.4;0.9965986435189926;0.9020474981973685
atus;431400;9;576.2;5570.4;0.9967506951325287;0.9053981392519634
atus;485325;9;610.4;5364.6;0.997647868141118;0.9099073887242761
atus;539253;9;562.6;5235.4;0.9977174441206551;0.9130585613950422
ihis;1193504;3;132.6;357.0;1.0;1.0
ihis;1193504;4;10370.2;126.8;0.9997427743;0.9989727726999997
ihis;1193504;5;8538.8;220.2;0.9974009303999996;0.9810758973869862
ihis;1193504;6;533.8;486.0;1.0;0.9708823084628759
ihis;1193504;7;654.0;1107.0;1.0;0.966631709350267
ihis;1193504;8;1010.4;4994.0;1.0;0.9424212196614963
ihis;1193504;9;139873.0;82313.0;0.9870464845286242;0.8711639862825868
ihis;119350;9;16886.8;19721.4;0.9916306080471466;0.83823218575824
ihis;238700;9;29555.6;31453.2;0.9916306080471466;0.8509400494844672
ihis;358050;9;92480.8;45068.0;0.990285183808383;0.8498809391851001
ihis;477400;9;115577.0;54923.6;0.9870464807577357;0.8533830570960685
ihis;596750;9;157214.8;61399.8;0.9870464882995127;0.8574420478211238
ihis;716100;9;174901.6;68391.4;0.9870464870461513;0.860181870391918
ihis;835450;9;128912.2;74113.6;0.9870464861493498;0.8590096511117498
ihis;954800;9;127304.2;79366.4;0.9870464854686452;0.8617859640921297
ihis;1074150;9;127366.4;82496.2;0.9870464849500127;0.8668865736863371
ihis;1193504;9;139892.6;81285.0;0.9870464845286242;0.8711639862825868
